分类,名称,ID,举例,符号,字节数,范围
VOID,VOID,0,NULL,,1,
LOGICAL,BOOL,1,"1b, 0b, true, false",b,1,0~1
INTEGRAL,CHAR,2,"‘a’, 97c",c,1,-2?7?+1~2?7?-1
,SHORT,3,122h,h,2,-2?15?+1~2?15?-1
,INT,4,21,i,4,-2?31?+1~2?31?-1
,LONG,5,22l,l,8,-2?63?+1~2?63?-1
,COMPRESSED,26,,,1,-2?7?+1~2?7?-1
TEMPORAL,DATE,6,2013.06.13,d,4,
,MONTH,7,2012.06M,M,4,
,TIME,8,30:10.0,t,4,
,MINUTE,9,13:30m,m,4,
,SECOND,10,13:30:10,s,4,
,DATETIME,11,2012.06.13 13:30:10 or 2012.06.13T13:30:10,D,4,"[1901.12.13T20:45:53, 2038.01.19T03:14:07]"
,TIMESTAMP,12,2012.06.13 13:30:10.008 or 2012.06.13T13:30:10.008,T,8,
,NANOTIME,13,30:10.0,n,8,
,NANOTIMESTAMP,14,2012.06.13 13:30:10.008007006 or 2012.06.13T13:30:10.008007006,N,8,"[1677.09.21T00:12:43.145224193, 2262.04.11T23:47:16.854775807]"
,DATEHOUR,28,2012.06.13T13,,4,
FLOATING,FLOAT,15,2.1f,f,4,有效位数: 06~09 位
,DOUBLE,16,2.1,F,8,有效位数: 15~17 位
LITERAL,SYMBOL,17,,S,4,
,STRING,18,“Hello” or ‘Hello’ or `Hello,W,"不超过 65,535",
,BLOB,32,,,,
BINARY,INT128,31,e1671797c52e15f763380b45e841ec32,,16,-2?127?+1~2?127?-1
,UUID,19,5d212a78-cc48-e3b1-4235-b4d91473ee87,,16,
,IPADDR,30,192.168.1.13,,16,
,POINT,35,"(117.60972, 24.118418)",,16,
SYSTEM,FUNCTIONDEF,20,"def f1(a,b) {return a+b;}",,,
,HANDLE,21,"file handle, socket handle, and db handle",,,
,CODE,22,<1+2>,,,
,DATASOURCE,23,,,,
,RESOURCE,24,,,,
,DURATION,36,"1s, 3M, 5y, 200ms",,4,
MIXED,ANY,25,"(1,2,3)",,,
,ANY DICTIONARY,27,"{a:1,b:2}",,,
OTHER,COMPLEX,34,2.3+4.0i,,16,
DECIMAL,DECIMAL32(S),37,3.1415926$DECIMAL32(3),,4,"(-1*10^(9-S), 1*10^(9-S))"
,DECIMAL64(S),38,"3.1415926$DECIMAL64(3), , 3.141P",P,8,"(-1*10^(18-S), 1*10^(18-S))"
,DECIMAL128(S),39,3.1415926$DECIMAL128(3),,16,"(-1*10^(38-S), 1*10^(38-S))"
ARRAY,基础类型+方括号 “[]“，如 INT[]，DOUBLE[]，DECIMAL32(3)[] 等，表示数组类型,基础类型 ID+64,"array(INT[], 0, 10).append!([1 2 3, 4 5, 6 7 8, 9 10])",,,
